0.056301256029241714129 	0.090419050379282855934 	0.11843097383887178642 	0.1475219717637235306 	0.17478428896017284 	0.21603126200677047475 	0.24681616641639403387 	0.28308480101402438978 	0.3461883761706450735 	0.42505357422852380056 	0.4726452821000722837 	0.51800603025137614832 	
0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
2.1210161456561866377e-42 	2.1799404654479456124e-42 	2.2282949889305697531e-42 	2.2784901635666559231e-42 	2.3255106234476615147e-42 	2.3966172254484768552e-42 	2.44966291786351627e-42 	2.512131644487044309e-42 	2.6207576694159922553e-42 	2.7564120941562704282e-42 	2.8382222903677469291e-42 	2.9161638398688536691e-42 	
4.2443366628484119442e-42 	4.362135832337459795e-42 	4.4587922207891611969e-42 	4.5591158989720203383e-42 	4.6530828362014130037e-42 	4.7951620588453934103e-42 	4.9011354325290764476e-42 	5.0259132471033426745e-42 	5.2428317748766666763e-42 	5.5136177852040510322e-42 	5.6768620047732966469e-42 	5.8323417307281379668e-42 	
6.3722684266901566121e-42 	6.5488433345501914598e-42 	6.6936961149992507606e-42 	6.8440147796728687459e-42 	6.9847800551876624815e-42 	7.1975636585212720926e-42 	7.3562284775706372956e-42 	7.5429958496641234704e-42 	7.8675394136873325425e-42 	8.272410898518837824e-42 	8.5163366286459896682e-42 	8.7485477236359841926e-42 	
8.5071233221697903636e-42 	8.7423248732605897681e-42 	8.9352154461262718512e-42 	9.1353283842381796672e-42 	9.3226693541936597421e-42 	9.6057542848177769093e-42 	9.8167556610934733277e-42 	1.0065032662068325946e-41 	1.0496199006006711113e-41 	1.1033585716509885537e-41 	1.1357063770207266508e-41 	1.1664795869785928812e-41 	
1.0651220755890976144e-41 	1.0944849356616417703e-41 	1.1185565526828340465e-41 	1.143520430359715533e-41 	1.1668823296349865914e-41 	1.2021670854211728198e-41 	1.2284534605469289048e-41 	1.259368014812031689e-41 	1.3130130957104204865e-41 	1.3797937207301557157e-41 	1.4199461221889291793e-41 	1.4581100220574612852e-41 	
1.2806890175984926573e-41 	1.3158695046667184493e-41 	1.3446970397268642519e-41 	1.374579815392249402e-41 	1.4025321771478683524e-41 	1.4447256497184080102e-41 	1.4761388290036725859e-41 	1.5130599113488782156e-41 	1.5770658320614317364e-41 	1.6566261253612118722e-41 	1.7043947021780685788e-41 	1.7497474827669499142e-41 	
1.4976473602932217849e-41 	1.5386151915968110245e-41 	1.5721665023153270043e-41 	1.6069275597035490813e-41 	1.6394253839938357061e-41 	1.6884462121086806838e-41 	1.7249146397759112772e-41 	1.7677455796517296989e-41 	1.8419107463121356827e-41 	1.9339354881895803379e-41 	1.9890939515108345192e-41 	2.0413933743076549405e-41 	
1.7162328174043838694e-41 	1.7629524016297327414e-41 	1.8011897504566883321e-41 	1.8407814370226718697e-41 	1.877771958459669366e-41 	1.9335247979264808832e-41 	1.9749646666834294911e-41 	2.0235922962603108081e-41 	2.1076808730408303236e-41 	2.2118016491814246577e-41 	2.2740857415764485436e-41 	2.333049101920797145e-41 	
1.9366828704365818899e-41 	1.9891131861936384235e-41 	2.0319931297789180319e-41 	2.0763606327394689716e-41 	2.117783197257629468e-41 	2.1801585247694780968e-41 	2.2264736248254930471e-41 	2.2807681002862803607e-41 	2.3745097115704423374e-41 	2.4903046086103191558e-41 	2.5594119867887858309e-41 	2.6247160708949886065e-41 	
2.1592370266789829841e-41 	2.2173314829979391705e-41 	2.2648047452288035238e-41 	2.3138859493415719211e-41 	2.3596718728421861204e-41 	2.4285457610409235896e-41 	2.4796273070322185273e-41 	2.5394419037806576294e-41 	2.6425312930267421866e-41 	2.7695245500900810446e-41 	2.845114650750828542e-41 	2.9163956865730062743e-41 	
2.3841370794172837877e-41 	2.4478433580153599439e-41 	2.4998546865100117547e-41 	2.5535800133670397697e-41 	2.6036524220350090108e-41 	2.6788862854980780401e-41 	2.7346127211120706592e-41 	2.7997836026745886632e-41 	2.9118802476636827556e-41 	3.049541863660384345e-41 	3.1312357524263518038e-41 	3.2080893543585642647e-41 	
2.6116273706292874563e-41 	2.6808872496654411593e-41 	2.7373752554827050362e-41 	2.7956674840666447095e-41 	2.8499411361254331151e-41 	2.9313814479349909696e-41 	2.9916182279968824463e-41 	3.0619641883663214117e-41 	3.1826918724896896188e-41 	3.3304371689318055655e-41 	3.4178173723197492462e-41 	3.499798479723082336e-41 	
2.8419550564495045974e-41 	2.9167042154520737246e-41 	2.9776011957494486737e-41 	3.0403752639713674117e-41 	3.0987563526149353586e-41 	3.1862343311288727544e-41 	3.2508336808864451436e-41 	3.3261558600276802924e-41 	3.4551021992288707174e-41 	3.6122913382969648533e-41 	3.704901658664914692e-41 	3.791524468212460989e-41 	
3.0753703756911805149e-41 	3.1555381813101740473e-41 	3.2207699246543133215e-41 	3.2879327115624662833e-41 	3.3503186487755906072e-41 	3.4436499141803119463e-41 	3.5124505654954536008e-41 	3.5925321377038003557e-41 	3.729248062651279924e-41 	3.8951855202144467215e-41 	3.9925308336240795256e-41 	4.0832687254538509611e-41 	
3.3121269217174971646e-41 	3.3976361939194328258e-41 	3.4671217679244625954e-41 	3.5385718562434442257e-41 	3.6048510371941219856e-41 	3.7038352373787116518e-41 	3.7766621415064132617e-41 	3.8612679762804108749e-41 	4.0052671693065632035e-41 	4.179201162572205101e-41 	4.280747199497529986e-41 	4.3750326571624298567e-41 	
